ACL,Blunders,Mistakes,Inaccuracies,Perfect Moves
293.4634146341463,28,3,4,0
481.4047619047619,27,7,2,0
219.33333333333334,19,7,2,0
51.90909090909091,0,15,0,0
50.04545454545455,0,15,0,0
49.81818181818182,0,13,2,0
27.714285714285715,0,6,6,0
255.89285714285714,16,5,2,0
279.44117647058823,18,6,2,0
211.0909090909091,23,3,4,0
128.10344827586206,10,11,2,0
275.46153846153845,31,5,2,0
174.90243902439025,17,9,9,0
53.275862068965516,1,18,6,0
96.06896551724138,15,2,2,0
84.25714285714285,15,5,5,0
59.08,7,4,6,0
41.95,0,6,7,0
185.55555555555554,20,3,1,0
78.88888888888889,8,3,8,0
89.62962962962963,7,9,3,0
64.34782608695652,5,8,3,0
247.7058823529412,24,2,3,0
175.08,11,6,3,0
172.76666666666668,16,3,5,0
36.0,1,7,5,0
194.90322580645162,14,10,2,0
60.56521739130435,9,1,3,0
46.0,0,14,5,0
59.56666666666667,4,13,8,0
296.55555555555554,24,4,3,0
274.6774193548387,16,5,2,0
398.70588235294116,29,11,2,0
47.458333333333336,0,13,5,0
38.291666666666664,0,8,8,0
560.2926829268292,24,4,4,0
354.7931034482759,17,3,5,0
40.30434782608695,0,7,12,0
77.7741935483871,9,4,10,0
268.4146341463415,22,3,6,0
276.0731707317073,22,0,9,0
54.55555555555556,10,1,4,0
263.7837837837838,19,2,6,0
59.76,8,2,4,0
33.888888888888886,0,6,14,0
24.157894736842106,0,5,5,0
52.23529411764706,0,10,5,0
52.76470588235294,0,9,6,0
51.529411764705884,0,12,3,0
50.411764705882355,0,12,3,0
50.529411764705884,0,12,3,0
420.02272727272725,33,4,2,0
351.3,28,1,5,0
345.1162790697674,32,3,3,0
532.4782608695652,35,3,3,0
410.1578947368421,27,2,4,0
272.037037037037,15,1,4,0
237.46428571428572,14,2,6,0
53.63157894736842,4,4,7,0
50.0,0,8,6,0
51.375,0,9,5,0
211.68421052631578,8,5,6,0
49.125,0,9,5,0
497.25,43,2,6,0
28.705882352941178,0,4,7,0
436.1666666666667,26,1,3,0
39.23529411764706,0,4,11,0
39.11764705882353,0,4,11,0
40.35294117647059,0,4,11,0
293.40625,18,5,3,0
37.94117647058823,0,4,11,0
39.23529411764706,0,4,10,0
37.88235294117647,0,4,10,0
